"","tsect_obs","veg_type","cover_pct","ht_avg_m"
"109","T08_pg02_july","bare",1,0
"110","T08_pg02_july","deadwood",0.5,0.2
"111","T08_pg02_july","forb",22,0.825
"112","T08_pg02_july","grass",67.5,0.45
"113","T08_pg02_july","litter",3.5,0
"114","T08_pg02_july","shrub",5.5,1
"115","T09_initial_may","bare",4.5,0
"116","T09_initial_may","deadwood",7,NA
"117","T09_initial_may","grass",7,0.775
"118","T09_initial_may","ivy",81.5,0.25
"119","T09_pg01_june","bare",2.51,0
"120","T09_pg01_june","deadwood",9.05,0
"121","T09_pg01_june","grass",6.54,0.675
"122","T09_pg01_june","ivy",81.91,0.24
"123","T09_pg02_july","deadwood",3,0.51
"124","T09_pg02_july","forb",19.5,0.2
"125","T09_pg02_july","ivy",67,0.283333333333333
"126","T09_pg02_july","litter",4.5,0
"127","T09_pg02_july","shrub",6,1.5
